Year,Area_of_Residence,Sex,Age_at_Death,VALUE
2007,ROI Total,Both sexes,Under 1 year,230.0
2007,ROI Total,Both sexes,1 - 4 years,54.0
2007,ROI Total,Both sexes,5 - 9 years,17.0
2007,ROI Total,Both sexes,10 - 14 years,50.0
2007,ROI Total,Both sexes,15 - 19 years,149.0
2007,ROI Total,Both sexes,20 - 24 years,202.0
2007,ROI Total,Both sexes,25 - 29 years,248.0
2007,ROI Total,Both sexes,30 - 34 years,248.0
2007,ROI Total,Both sexes,35 - 39 years,295.0
2007,ROI Total,Both sexes,40 - 44 years,402.0
2007,ROI Total,Both sexes,45 - 49 years,606.0
2007,ROI Total,Both sexes,50 - 54 years,808.0
2007,ROI Total,Both sexes,55 - 59 years,1261.0
2007,ROI Total,Both sexes,60 - 64 years,1683.0
2007,ROI Total,Both sexes,65 - 69 years,2033.0
2007,ROI Total,Both sexes,70 - 74 years,2941.0
2007,ROI Total,Both sexes,75 - 79 years,4017.0
2007,ROI Total,Both sexes,80 - 84 years,4974.0
2007,ROI Total,Both sexes,85 years and over,7899.0
2007,ROI Total,Both sexes,All ages,28117.0
2007,ROI Total,Male,Under 1 year,125.0
2007,ROI Total,Male,1 - 4 years,31.0
2007,ROI Total,Male,5 - 9 years,8.0
2007,ROI Total,Male,10 - 14 years,32.0
2007,ROI Total,Male,15 - 19 years,109.0
2007,ROI Total,Male,20 - 24 years,163.0
2007,ROI Total,Male,25 - 29 years,184.0
2007,ROI Total,Male,30 - 34 years,168.0
2007,ROI Total,Male,35 - 39 years,191.0
2007,ROI Total,Male,40 - 44 years,258.0
2007,ROI Total,Male,45 - 49 years,379.0
2007,ROI Total,Male,50 - 54 years,492.0
2007,ROI Total,Male,55 - 59 years,802.0
2007,ROI Total,Male,60 - 64 years,1044.0
2007,ROI Total,Male,65 - 69 years,1292.0
2007,ROI Total,Male,70 - 74 years,1709.0
2007,ROI Total,Male,75 - 79 years,2196.0
2007,ROI Total,Male,80 - 84 years,2387.0
2007,ROI Total,Male,85 years and over,2821.0
2007,ROI Total,Male,All ages,14391.0
2007,ROI Total,Female,Under 1 year,105.0
2007,ROI Total,Female,1 - 4 years,23.0
