DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AD,2008,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AD,2009,31.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AD,2010,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2008,27.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2009,27.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2010,27.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2011,27.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2012,27.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2013,27.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2014,27.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2015,27.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2016,28.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2017,28.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AL,2018,28.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AM,2008,25.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AM,2009,26,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AM,2015,26.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AM,2016,27,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AM,2017,27,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AM,2018,27.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AM,2019,27.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2008,29.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2009,29.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2010,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2011,30,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2012,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2013,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2014,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2015,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2016,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,AT,2017,30.7,
